index,selector,name,short_name,id_number,director,img
110,g45,"JSC ""RS-LIZING""",Rs-Lizing,1832003703,Zorin Andrey Vasilyevich,ZORIN_Andrey.jpeg
112,g6788,"PJSC ""KAMAZ""",Kamaz,1650032058,Kogogin Sergey Anatolyevich,KOGOGIN_Sergey.jpg
113,g31,MINISTRY OF LAND AND PROPERTY OF THE REPUBLIC OF TATARSTAN,Ministry Of Land And Property Of The Republic Of Tatarstan,1655043430,Agliullin Fanil Anvarovich,AGLIULLIN_Fanil.jpg
114,g581,"JSC ""OBEDINENNAYA AVIASTROITELNAYA KORPORACIYA""",Obedinennaya Aviastroitelnaya Korporaciya,7708619320,Slyusar Yury Borisovich,SLYUSAR_Yury.jpg
115,g401,"PJSC SPECIAL MECHANICAL BUILDING AND METALLURGY ""MOTOVILIHINSKIE ZAVODY""",Motovilihinskie Zavody,5906009273,Bersenev Andrej Aleksandrovich,no_photo.png
116,g1023,"LTD ""VOENNO-PROMYSHLENNAYA KOMPANIYA""",Voenno-Promyshlennaya Kompaniya,7703602065,Krasovitsky Alexander Vladimirovich,KRASOVITSKY_Alexander.jpg
117,g1019,"""GROUP GAZ"" MANAGEMENT COMPANY LTD",Group Gaz,7730522644,Zolotarev Aleksandr Vasilevich,no_photo.png
118,g179,"LTD ""RM - TEREKS""",Rm - Tereks,7707533574,Galkovskij Evgenij Mihajlovich,no_photo.png
119,g17,"LTD ""EGO-HOLDING'",Ego-Holding,7804070635,Cvetkova Irina Lvivna,no_photo.png
120,g44797,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,Rosimushhestvo,7710723134,Yakovenko Vadim Vladimirovich,YAKOVENKO_Vadim.jfif
121,g29224,"STATE CORPORATION FOR SPACE ACTIVITIES ""ROSKOSMOS""",Roskosmos,7702388027,Rogozin Dmitry Olegovich Before 15.07.2022,ROGOZIN_Dmitry.jpg
122,g327,"JSC ""TEHNODINAMIKA"" ",Tehnodinamika,7719265496,Nasenkov Igor Georgievich,NASENKOV_Igor.jpg
123,g565,"JSC ""OBEDINENNAYA MASHINOSTROITELNAYA GRUPPA""",Obedinennaya Mashinostroitelnaya Gruppa,7722470978,Strezhnev Dmitry Stepanovich,STREZHNEV_Dmitry.jpg
124,g561,"LTD ""RT-KAPITAL""",Rt-Kapital,7704770859,Yakubov Semen Valerevich,YAKUBOV_SEMEN.png
125,g1015,"LTD ""GRUPPA IMPULS""",Gruppa Impuls,7707199873,Pechenkin Valerij Pavlovich,no_photo.png
126,g44802,"STATE CORPORATION ""ROSTEH""",Rosteh,7704274402,Chemezov Sergey Viktorovich,CHEMEZOV_Sergey.jpg
127,g1057,DERIPASKA OLEG VLADIMIROVICH,Deripaska Oleg Vladimirovich,,Deripaska Oleg Vladimirovich,DERIPASKA_Oleg.jpg
128,g157,MIDSTREAM GROUP LIMITED ,Midstream Group Limited ,ΗΕ351903,,
