index,selector,name,short_name,id_number,director,img
114,g581,"ПАТ ""ОБ'ЄДНАНА АВІАБУДІВЕЛЬНА КОРПОРАЦІЯ""",ОБ'ЄДНАНА АВІАБУДІВЕЛЬНА КОРПОРАЦІЯ,7708619320,"
Слюсар Юрій Борисович",SLYUSAR_Yury.jpg
115,g401,"ПАТ СПЕЦІАЛЬНОГО МАШИНОБУДУВАННЯ ТА МЕТАЛУРГІЇ ""МОТОВІЛІХІНСЬКІ ЗАВОДИ""",МОТОВІЛІХІНСЬКІ ЗАВОДИ,5906009273,Бєрсєнєв Андрей Олександрович,no_photo.png
116,g1023,"ТОВ ""ВІЙСЬКОВО-ПРОМИСЛОВА КОМПАНІЯ""",ВІЙСЬКОВО-ПРОМИСЛОВА КОМПАНІЯ,7703602065,"
Красовицький Олександр Володимирович",KRASOVITSKY_Alexander.jpg
117,g1019,"ТОВ ""КЕРУЮЧА КОМПАНІЯ ""ГРУПА ГАЗ""",КОМПАНІЯ ГРУПА ГАЗ,7730522644,Золотарьов Олександр Васильович,no_photo.png
118,g179,"ТОВ ""РМ - ТЕРЕКС""",РМ - ТЕРЕКС,7707533574,Галковський Євген Михайлович,no_photo.png
119,g17,"ТОВ ""ХОЛДИНГОВА КОМПАНІЯ ""ЕГО-ХОЛДИНГ""",ЕГО-ХОЛДИНГ,7804070635,Цветкова Ірина Львівна,no_photo.png
120,g44797,ФЕДЕРАЛЬНЕ АГЕНТСТВО З УПРАВЛІННЯ ДЕРЖАВНИМ МАЙНОМ,РОСМАЙНО,7710723134,"
Яковенко Вадим Володимирович",YAKOVENKO_Vadim.jfif
121,g29224,"ДЕРЖАВНА КОРПОРАЦІЯ З КОСМІЧНОЇ ДІЯЛЬНОСТІ ""РОСКОСМОС""",РОСКОСМОС,7702388027,"
Рогозін Дмитро Олегович до 15.07.2022",ROGOZIN_Dmitry.jpg
122,g327,"АТ ""ТЕХНОДИНАМІКА""",ТЕХНОДИНАМІКА,7719265496,Насєнков Ігор Георгійович,NASENKOV_Igor.jpg
123,g565,"АТ ""ОБ'ЄДНАНА МАШИНОБУДІВЕЛЬНА ГРУПА""",ОБ'ЄДНАНА МАШИНОБУДІВЕЛЬНА ГРУПА,7722470978,"
Стрежнєв Дмитро Степанович",STREZHNEV_Dmitry.jpg
124,g561,"ТОВ ""РТ-КАПІТАЛ""",РТ-КАПІТАЛ,7704770859,Якубов Семен Валерйович,YAKUBOV_SEMEN.png
125,g1015,"ТОВ ""ГРУПА ІМПУЛЬС""",ГРУПА ІМПУЛЬС,7707199873,Печенкін Валерій Павлович,no_photo.png
126,g44802,"ДЕРЖАВНА КОРПОРАЦІЯ ""РОСТЕХ""",РОСТЕХ,7704274402,"
Чемезов Сергій Вікторович",CHEMEZOV_Sergey.jpg
127,g29231,ДЕРИПАСКА ОЛЕГ ВОЛОДИМИРОВИЧ,ДЕРИПАСКА ОЛЕГ ВОЛОДИМИРОВИЧ,,Дерипаска Олег Володимирович,DERIPASKA_Oleg.jpg
128,g6811,МІДСТРІМ ГРУП ЛІМІТЕД,МІДСТРІМ ГРУП ЛІМІТЕД,ΗΕ351903,,
